Phone Name,Free Delivery (Exact Match),Free Delivery (Partial Match),Price,RAM,ROM,Display,Camera,Battery,Processor,Warranty
"realme Narzo 30 (Racing Silver, 64 GB)",No,No,"₹10,999",4 GB,64 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30 (Racing Blue, 64 GB)",No,No,"₹11,999",6 GB,64 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30 (Racing Silver, 64 GB)",No,No,"₹11,999",6 GB,64 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 50A (Oxygen Blue, 128 GB)",No,No,"₹12,499",4 GB,128 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 50A (Oxygen Green, 128 GB)",No,No,"₹12,499",4 GB,128 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 50A (Oxygen Green, 64 GB)",No,No,"₹11,499",4 GB,64 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 50A (Oxygen Blue, 64 GB)",No,No,"₹11,499",4 GB,64 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30A (Laser Blue, 32 GB)",No,No,"₹9,999",3 GB,32 GB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30 Pro 5G (Sword Black, 128 GB)",No,No,"₹16,499",8 GB,128 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Dimensity 800U Processor,1 Year Warranty for Mobile and 6 Months for Accessories
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
"realme Narzo 30 Pro 5G (Blade Silver, 128 GB)",No,No,"₹16,499",8 GB,128 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Dimensity 800U Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)",No,No,"₹13,499",6 GB,64 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Dimensity 800U Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30 Pro 5G (Sword Black, 64 GB)",No,No,"₹13,499",6 GB,64 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Dimensity 800U Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 30A (Laser Blue, 64 GB)",Yes,Yes,"₹10,749",4 GB,64 GB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 20 (Victory Blue, 128 GB)",No,No,"₹13,999",4 GB,128 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G85 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"realme Narzo 20A (Glory Silver, 32 GB)",No,No,"₹10,999",3 GB,32 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 665 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"realme Narzo 20 (Glory Silver, 64 GB)",Yes,Yes,"₹10,990",4 GB,64 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G85 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"realme Narzo 50i Prime (Dark Blue, 32 GB)",Yes,Yes,"₹7,999",3 GB,32 GB,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T612 processor Processor,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme Narzo 20 (Glory Silver, 128 GB)",No,No,"₹13,999",4 GB,128 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G85 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"realme Narzo 30 5G (Racing Silver, 64 GB)",No,No,"₹15,999",4 GB,64 GB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Dimensity 700 (MT6833) Processor,1 Year Warranty for Mobile and 6 Months for Accessories
"realme NARZO 80 Pro 5G (Nitro Orange, 256 GB)",Yes,Yes,"₹25,990",12 GB,256 GB,17.02 cm (6.7 inch) Display,50MP Rear Camera,6000 mAh Battery,,1 Year Handset Warranty and 6 Months Warranty on Accessories
"realme Narzo N61 (Voyage Blue, 128 GB)",Yes,Yes,"₹7,599",6 GB,128 GB,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery,,
"realme Narzo N65 5G (Deep Green, 128 GB)",Yes,Yes,"₹10,931",8 GB,128 GB,16.94 cm (6.67 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme NARZO 70X 5G (Forest Green, 128 GB)",Yes,Yes,"₹12,741",8 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera,5000 mAh Battery,"Dimensity 6100 Plus, Octa Core Processor",1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme NARZO 70X 5G (FOREST GREEN, 128 GB)",Yes,Yes,"₹11,648",6 GB,128 GB,17.07 cm (6.72 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ 5G Chipset Processor,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme NARZO 70 5G (ICE BLUE, 128 GB)",Yes,Yes,"₹14,446",8 GB,128 GB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP Rear Camera | 16MP Front Camera,5000 mAh Battery,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme narzo 70 5G (Forest Green, 128 GB)",Yes,Yes,"₹14,180",6 GB,128 GB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP Rear Camera,5000 mAh Battery,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme NARZO 70 5G (FOREST GREEN, 128 GB)",Yes,Yes,"₹14,799",8 GB,128 GB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP Rear Camera | 16MP Front Camera,5000 mAh Battery,,1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme NARZO N63 (Leather Blue, 64 GB)",Yes,Yes,"₹7,354",4 GB,64 GB,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,,
"realme Narzo N63 4G (Leather Blue, 128 GB)",Yes,Yes,"₹8,490",4 GB,128 GB,17.13 cm (6.745 inch) Display,50MP Rear Camera,5000 mAh Battery,,Domestic Warranty 1 year for handset and 6 months for accessories.
"realme Narzo N63 4G (Twilight Purple, 64 GB)",Yes,Yes,"₹7,497",4 GB,64 GB,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,,Domestic Warranty 1 year for handset and 6 months for accessories.
"realme Narzo N63 4G (Twilight Purple, 128 GB)",Yes,Yes,"₹8,999",4 GB,128 GB,17.12 cm (6.74 inch) Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,,Domestic Warranty 1 year for handset and 6 months for accessories.
"realme N63 4G (Twilight Purple, 128 GB)",Yes,Yes,"₹8,202",4 GB,128 GB,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery,,Domestic Warranty 1 year for handset and 6 months for accessories.
"realme Narzo 50A Prime (Flash Blue, 128 GB)",Yes,Yes,"₹13,499",4 GB,128 GB,16.76 cm (6.6 inch) Display,50MP Rear Camera,5000 mAh Battery,,12 Months Brand Warranty
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
Unknown,No,No,N/A,,,,,,,
"realme Narzo 50A Prime (Flash Black, 128 GB)",No,No,"₹14,499",4 GB,128 GB,16.76 cm (6.6 inch) Display,50MP Rear Camera,5000 mAh Battery,,12 Months Brand Warranty
"realme narzo 50 5G (Hyper Blue, 128 GB)",Yes,Yes,"₹16,999",6 GB,128 GB,16.76 cm (6.6 inch) Display,48MP Rear Camera,5000 mAh Battery,,12Months Brand Warranty
"realme narzo 50 5G (Hyper Blue, 128 GB)",Yes,Yes,"₹16,846",4 GB,128 GB,16.76 cm (6.6 inch) Display,48MP Rear Camera,5000 mAh Battery,,12Months Brand Warranty
"realme narzo 50 5G (Hyper Blue, 64 GB)",Yes,Yes,"₹16,999",4 GB,64 GB,16.76 cm (6.6 inch) Display,48MP Rear Camera,5000 mAh Battery,,12Months Brand Warranty
